No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
48,108592.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.59,17.06,16.22,14.97,13.34,13.2,4.68,2.44,0.33,0,0.6,3.77,8.06,11.28,17.08,19.43,19.84,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.964,1452.399,1452.476,1452.477,1452.684,1452.296,1452.287,1451.556,1451.336,1451.138,1451.393,1451.16,1451.089,1450.9,1450.61,1450.339,1450.257,1450.255,1450.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,108600,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.99,18.39,16.81,15.91,14.86,13.77,13.35,12.73,10.05,7.84,5.34,0,2.32,5.65,7.64,8.23,9.2,9.96,16.85,17.1,18.38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.885,1451.857,1452.224,1452.374,1452.407,1452.47,1452.358,1452.249,1452.225,1452.161,1451.996,1451.896,1451.984,1451.61,1451.255,1450.892,1450.798,1450.82,1450.758,1450.366,1450.359,1450.316,1450.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,108613.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.75,19.03,17.15,16.44,15.47,14.81,13.48,9.46,6.83,0,1.3,1.49,1.62,9.27,11.51,13.06,15.38,19.14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.803,1451.859,1451.911,1451.741,1451.729,1451.494,1451.314,1451.226,1451.028,1450.789,1451.106,1450.869,1450.82,1450.863,1451.162,1451.114,1451.063,1450.958,1450.774,1450.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,108620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.34,16.38,16.04,14.37,7.09,6.41,5.19,0,8.54,8.73,8.84,10.55,15.35,18.79,19.62,19.76,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.773,1451.768,1451.828,1451.749,1451.315,1451.061,1451.043,1450.911,1450.991,1450.251,1450.173,1450.276,1450.456,1450.325,1450.281,1450.265,1450.195,1450.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,108640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.17,18,17.77,11.11,11.02,10.71,3.16,0,0.54,5.97,6,6.05,15.43,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.324,1451.425,1451.394,1451.37,1451.08,1451.064,1451.034,1450.785,1450.783,1450.468,1450.261,1450.279,1450.288,1449.938,1449.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,108660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11.15,10.95,10.74,0,12.52,12.61,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.81,1450.722,1450.683,1450.706,1450.562,1449.79,1449.857,1449.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,108672.69,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.97,19.25,19.05,18.55,18.19,16.63,13.35,8.38,7.85,7.23,3.7,0,1.86,2.86,9.92,17.25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.02,1451.053,1450.673,1450.692,1450.535,1450.572,1450.429,1450.229,1450.264,1450.126,1450.171,1450.044,1450.214,1449.893,1449.864,1449.573,1449.549,1449.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,108676.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.18,18.55,15.9,11.41,10.4,5.43,0,1.32,2.57,5.86,9.09,10.47,11.56,16.52,18.68,19.09,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.285,1451.394,1451.399,1451.079,1450.43,1450.28,1449.705,1449.927,1449.849,1449.558,1449.423,1449.445,1449.453,1449.441,1449.431,1449.497,1449.511,1449.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,108680,,,,,,,,,,,,,,,,,,,,,,,,,20,19.82,15.97,15.93,15.91,15.91,15.82,12.12,12.09,11.61,4.9,4.74,4.62,3.61,0,0.37,4.27,4.31,4.38,4.4,4.43,8.82,8.86,9.1,12.63,12.66,12.7,15.9,17.15,18.59,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1451.168,1451.237,1451.015,1451.073,1451.053,1451.043,1451.059,1450.85,1450.835,1450.782,1450.453,1450.375,1450.387,1450.369,1450.51,1450.192,1449.723,1449.646,1449.731,1449.681,1449.651,1449.343,1449.345,1449.317,1449.219,1449.218,1449.227,1449.089,1449.174,1449.183,1449.234,,,,,,,,,,,,,,,,,,,,,,,
57,108690.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.91,14.4,13.45,11.81,3.49,1.45,0,2.16,6.5,11.81,15.34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.732,1450.739,1450.514,1450.213,1450.125,1450.083,1450.155,1450.462,1450.302,1450.141,1450.091,1449.799,1449.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,108700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.63,8.9,8.63,0.29,0,11.14,11.59,11.92,15.87,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.563,1450.476,1450.197,1450.23,1449.864,1450.122,1449.497,1449.537,1449.482,1449.296,1449.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,108720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.8,15.69,15.6,10.22,5.78,5.65,0,11.66,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.493,1450.263,1450.218,1450.166,1450.078,1449.916,1450.001,1449.897,1449.329,1449.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,108740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11.38,11.25,1.08,0,6.64,6.72,8.59,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.282,1450.068,1450.074,1449.692,1449.857,1449.354,1449.421,1449.413,1449.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,108760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,9.79,9.23,4.3,3.97,0,12.01,12.6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.086,1449.639,1449.663,1449.29,1449.296,1449.59,1448.825,1448.862,1448.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,108780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.22,15.64,7.96,7.8,0,4.93,5.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.938,1449.822,1449.807,1449.333,1449.304,1449.4,1448.945,1448.948,1448.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,108800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.3,15.69,8.83,8,0,9.67,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.521,1449.413,1449.358,1449.137,1449.11,1449.201,1448.378,1448.308,1448.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,108820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.36,17.87,14.25,13.82,0,12.81,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.15,1449.113,1449.073,1449.052,1449.038,1448.715,1448.041,1447.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,108840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.68,15.37,14.94,11.77,11.17,0,10.62,10.67,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.868,1448.838,1448.658,1448.681,1448.644,1448.653,1448.556,1447.706,1447.604,1447.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,108860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.63,15.47,13.41,12.85,11.23,7.82,7.64,0,8.34,14.73,15.09,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.388,1448.316,1448.021,1448.489,1448.481,1448.225,1448.169,1448.219,1448.29,1447.612,1447.305,1447.345,1447.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,108880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10.74,10.25,10.03,9.96,9.74,3.66,3.5,0,11.03,12.3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.384,1447.836,1447.776,1447.91,1447.863,1447.86,1447.593,1447.558,1447.893,1447.111,1447.024,1446.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,108900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.47,18.84,6.94,6.89,0.41,0,5.27,5.63,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.129,1448.024,1448.047,1447.553,1447.651,1447.291,1447.574,1447.041,1447.07,1446.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,108920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.49,16.05,11.01,10.93,0.45,0,0.74,11.57,11.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.91,1447.896,1447.802,1447.662,1447.562,1446.981,1447.203,1446.94,1446.543,1446.526,1446.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,108940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.39,15.03,14.39,8.98,8.61,0.28,0,11.62,12.22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.409,1447.387,1447.109,1447.068,1447.093,1447.011,1446.697,1446.904,1446.008,1446.005,1445.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,108960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.68,18.22,18.08,14.83,14.79,13.39,9.91,9.76,6.9,0,0.34,12.89,13.15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447,1447.029,1446.959,1446.968,1446.852,1446.844,1446.485,1446.683,1446.643,1446.313,1446.387,1446.099,1445.777,1445.845,1445.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,108980,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.34,17.28,14.14,13.81,13.32,10.11,10.01,9.77,6.14,6,0,13.64,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.616,1446.565,1446.56,1446.289,1446.326,1446.256,1446.232,1446.212,1446.201,1446.077,1446.131,1445.656,1445.368,1445.355,1445.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.79,15.62,14.73,11.78,9.96,9.57,5.51,5.45,5.25,0,5.01,5.32,7.64,11.08,13.91,17.67,18.64,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.25,1446.214,1446.157,1445.975,1445.971,1445.55,1445.558,1445.772,1445.722,1445.813,1445.638,1445.295,1445.303,1445.376,1445.269,1445.193,1444.967,1444.909,1444.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,109020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.29,14.08,10.76,9.78,5.95,5.89,5.68,5.55,0,10.56,10.87,11.15,11.53,11.79,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.91,1445.803,1445.737,1445.627,1445.43,1445.379,1445.442,1445.34,1445.373,1445.447,1444.637,1444.626,1444.62,1444.538,1444.565,1444.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,109040,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.69,13.19,12.18,11.58,9.02,7.31,4.7,4.5,4.47,4.44,2.43,0,13,14.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.513,1445.479,1445.385,1445.295,1445.224,1445.069,1444.833,1444.95,1445.011,1444.991,1445.022,1444.878,1444.948,1444.348,1444.295,1444.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,109060,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.79,18.4,17.73,11.83,11.01,7.92,7.83,5.17,5.03,5.01,0,10.98,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.911,1444.904,1444.999,1445.066,1445.004,1444.933,1444.85,1444.837,1444.591,1444.623,1444.651,1444.764,1443.932,1443.841,1443.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,109080,,,,,,,,,,,,,,,,,,,,,,,,19.52,19.42,15.81,15.49,15.49,9.28,8.91,6.12,4.9,4.84,4.81,4.79,3.71,2.71,1.19,0,2.63,4.3,7.77,11.77,14.62,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1444.446,1444.425,1444.585,1444.619,1444.622,1444.621,1444.522,1444.467,1444.27,1444.234,1444.211,1444.158,1444.526,1444.691,1444.751,1445.129,1444.718,1444.302,1444.139,1443.962,1443.878,1443.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,109100,,,,,,,,,,,,,,,,,,,,,,,,,,19.48,18.65,18.55,18.29,14.95,14.38,7.53,7.02,4.94,4.06,3.32,3.18,3.11,0,6.45,6.95,12.57,14.29,19.45,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.48,1444.188,1444.15,1444.077,1444.194,1444.176,1443.978,1443.968,1443.856,1443.759,1443.645,1443.554,1443.635,1444.029,1443.384,1443.372,1443.341,1443.288,1443.211,1443.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,109120,,,,,,,,,,,,,,,,,,,,,,,,,,19.36,18.98,17.42,17.13,16.45,12.85,12.36,12.24,5.7,5.21,4.63,2.13,1.16,0,10.69,11.02,11.45,12.08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.53,1444.373,1443.964,1443.908,1443.691,1443.847,1443.817,1443.846,1443.723,1443.653,1443.54,1443.698,1443.383,1443.384,1442.754,1442.851,1442.813,1442.835,1442.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,109140,,,,,,,,,,,,,,,,,,,,,,,,,,19.16,18.47,15.59,15.28,14.93,11.83,11.68,11.49,10.7,10.56,3.62,3.39,2.99,0,4.81,5.08,7.91,15.94,17.51,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.665,1444.485,1443.74,1443.593,1443.397,1443.391,1443.387,1443.467,1443.489,1443.595,1443.353,1443.387,1443.422,1443.267,1443.017,1442.968,1442.916,1442.247,1442.264,1442.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,109149.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03,17.29,14.82,13.35,12.23,10.78,10.4,9.35,5.98,2.33,0,4.16,4.25,4.39,5.64,7.3,7.37,9.32,10.19,11.26,11.73,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.673,1443.987,1443.022,1442.975,1443.253,1443.249,1443.338,1443.394,1443.28,1443.258,1443.38,1442.983,1442.993,1442.922,1443.071,1443.151,1443.227,1443.184,1443.195,1443.265,1443.219,1442.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,109160,,,,,,,,,,,,,,,,,,,,18.87,14.97,14.89,14.72,13.92,12.26,12.19,12.1,10.17,8.32,8.28,8.14,1.23,1.22,1.22,1.11,1.09,0.69,0.47,0,2.48,3.76,5.16,5.34,7.21,7.62,9.41,11.42,12.98,14.44,16.37,18.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1444.242,1442.745,1442.692,1442.671,1442.914,1442.966,1442.965,1442.986,1443.082,1443.244,1443.248,1443.258,1443.055,1442.995,1443.005,1442.967,1442.917,1443.144,1443.292,1443.658,1442.813,1442.849,1443.116,1443.049,1443.566,1443.474,1443.576,1443.373,1443.103,1442.988,1442.848,1442.684,1442.557,,,,,,,,,,,,,,,,,,,,,,,,,,
83,109175.15,,,,,,,,,,,,,,,,,,,,,,,,,18.61,18.19,17.12,14.86,14.74,14.51,13.27,11.67,11.34,11.02,10.03,7.06,5.61,0.3,0,0.22,1.8,7.61,7.62,7.64,9.1,9.14,10.2,10.83,11.73,11.73,11.74,13.39,13.45,13.61,13.8,14.93,15.46,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1444.145,1443.892,1443.622,1443.087,1443.13,1443.191,1442.823,1442.643,1442.657,1442.661,1442.68,1442.904,1442.958,1442.853,1443.043,1442.746,1442.687,1442.659,1442.656,1442.713,1443.119,1443.023,1443.155,1443.02,1443.01,1442.979,1442.968,1442.495,1442.468,1442.484,1442.518,1442.33,1442.391,1442.312,,,,,,,,,,,,,,,,,,,,
84,109180,,,,,,,,,,,,,,,,,,,,,,,18.74,18.69,17.7,15.43,15.03,13.76,13.08,12.91,12.81,10.64,7.05,6.99,6.88,6.84,6.69,6.68,0,0.65,0.65,0.66,0.71,1.03,4.91,6.14,7.72,7.9,8.03,9.73,10.78,11.17,11.51,12.71,13.14,13.84,15.58,17.6,18,20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1443.926,1443.93,1443.706,1443.176,1443.205,1442.802,1442.434,1442.367,1442.366,1442.678,1442.89,1442.868,1442.821,1442.858,1442.834,1442.876,1443.015,1442.628,1442.728,1442.678,1442.728,1442.509,1442.374,1442.337,1442.481,1442.567,1442.633,1442.973,1442.591,1442.6,1442.507,1442.291,1442.202,1442.17,1442.19,1442.278,1442.196,1442.091,,,,,,,,,,,,,,,,,,
85,109187.32,,,,,,,,,,,,,,,,,,,,,,19.15,18.96,18.41,17.16,15.53,14.82,14.44,13.53,12.96,11.72,9.67,9.03,7.87,7.45,6.01,5.88,1.74,0,0.41,1.35,1.49,7.89,8.14,8.33,8.37,8.42,8.5,8.65,9.98,10.11,10.14,12.02,13.14,14.74,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1443.583,1443.514,1443.368,1443.057,1443.298,1443.149,1442.863,1442.789,1442.669,1442.824,1442.993,1442.701,1442.672,1442.652,1442.646,1442.665,1442.653,1442.899,1442.644,1442.595,1442.41,1442.218,1442.309,1442.383,1442.322,1442.352,1442.334,1442.418,1442.53,1442.542,1442.506,1442.646,1442.19,1441.748,1441.911,,,,,,,,,,,,,,,,,,,,,,
86,109200,,,,,,,,,,,,,,,,,,,,19.83,19.5,18.97,18.84,18.31,17.02,14.19,13.2,11.07,10.4,10.22,8.63,8.5,5.09,5.01,4.97,4.65,4.61,4.49,0,2.6,2.61,2.98,4.4,6.62,7.96,8.7,9.23,10.26,10.89,11.68,12.22,12.79,13.19,13.86,15.83,18.41,19.84,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1443.13,1443.025,1443.012,1442.971,1443.108,1443.26,1443.393,1443.115,1442.305,1442.238,1442.09,1442.306,1442.239,1442.412,1442.334,1442.335,1442.432,1442.391,1442.428,1442.7,1442.399,1442.364,1442.33,1442.318,1442.315,1442.086,1442.068,1442.173,1442.256,1442.368,1442.563,1442.526,1442.57,1442.588,1442.507,1442.339,1442.319,1441.834,1441.898,,,,,,,,,,,,,,,,,,,,
87,109208.21,,,,,,,,,,,,,,,,,,,20,19.97,18.28,17.84,16.14,15.43,13.87,13.33,12.16,11.79,10.82,9.94,9.18,7.29,6.41,5.97,5.79,5.3,3.79,1.19,0,1.61,3.37,3.47,8.93,10.65,10.66,10.71,10.73,10.75,13.85,13.87,15.68,15.92,15.97,17.01,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1442.873,1442.852,1442.746,1442.776,1443.219,1443.324,1443.364,1443.221,1442.807,1442.788,1442.463,1442.591,1442.23,1442.328,1442.054,1442.084,1442.03,1442.217,1442.274,1442.236,1442.552,1442.294,1442.18,1442.082,1441.747,1442.134,1442.141,1442.171,1442.13,1442.095,1442.701,1442.693,1442.356,1442.347,1442.283,1441.951,1441.965,,,,,,,,,,,,,,,,,,,,,,,
88,109220,,,,,,,,,,,,,,,,,,,20,17.26,16.38,13.53,13.34,11.6,10.87,9.44,5.75,5.67,5.6,3.52,3.46,3.43,2.86,2.81,2.75,2.75,2.75,2.74,0,4.5,4.5,4.84,4.94,5.2,7.77,9.14,10,10.4,12.95,13.29,15.26,17.41,17.65,19.22,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1442.671,1442.578,1442.587,1443.342,1443.404,1442.896,1442.455,1441.918,1441.852,1441.8,1441.793,1441.932,1441.855,1441.875,1442.01,1441.985,1442.057,1442.048,1442.058,1442.049,1442.34,1441.997,1442.002,1441.982,1441.973,1441.849,1441.811,1441.799,1441.489,1441.595,1441.826,1441.799,1441.959,1441.693,1441.651,1441.647,1441.586,,,,,,,,,,,,,,,,,,,,,,,
89,109240,,,,,,,,,,,,,,,,20,16.72,15.43,14.42,13.96,12.66,9.87,9.73,9,7.72,5.43,5.42,5.3,5.19,5.15,5.1,5.07,4.98,4.89,2.98,0.57,0.34,0.3,0,6.83,6.84,6.98,7.13,7.28,11.25,11.5,13.19,13.36,13.71,14.61,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1442.308,1442.16,1442.199,1442.163,1442.232,1442.735,1442.36,1442.391,1442.118,1441.627,1441.313,1441.387,1441.291,1441.288,1441.31,1441.255,1441.269,1441.336,1441.279,1441.468,1441.629,1441.581,1441.547,1441.927,1441.593,1441.576,1441.573,1441.614,1441.52,1441.306,1441.361,1441.088,1441.131,1441.12,1441.02,1440.929,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,109260,,,,,,,,,,,,,,,,,,,,,20,16.37,13.34,13.06,12.7,11.11,8.76,7.84,7.61,7.56,7.39,3.55,2.85,2.71,2.67,2.62,2.54,2.35,0,2.22,2.32,2.46,2.47,2.47,2.47,6.8,9.57,9.6,9.97,10.56,10.65,10.84,10.86,12.84,14.53,15.15,18.75,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1442.115,1442.051,1442.256,1442.338,1442.266,1442.442,1441.965,1441.992,1442.06,1442.059,1441.99,1441.004,1441.1,1440.99,1441.041,1441.046,1441.025,1441.029,1441.417,1441.3,1441.3,1441.227,1441.295,1441.229,1441.321,1441.251,1441.166,1441.171,1441.127,1441.043,1441.107,1441.045,1441.034,1440.961,1440.764,1440.63,1440.486,1440.45,,,,,,,,,,,,,,,,,,,,
91,109280,,,,,,,,,,,,,,,,,,,,20,18.51,17,15.94,15.31,12.89,12.68,11.35,10.74,10.4,8.3,7.47,6.9,6.78,5.87,5.79,5.71,2.79,2.72,0,5.04,5.06,5.08,5.08,11.11,12.06,12.21,12.4,12.46,16.89,17.43,18.12,19.14,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1442.107,1441.902,1442.044,1442.168,1442.142,1442.288,1442.326,1442.503,1442.529,1442.514,1441.952,1441.713,1441.651,1441.569,1441.822,1441.848,1441.776,1440.538,1440.608,1441.068,1440.956,1440.947,1440.948,1440.878,1440.903,1440.893,1440.905,1440.883,1440.818,1440.488,1440.462,1440.386,1440.371,1440.417,,,,,,,,,,,,,,,,,,,,,,,,,
92,109300,,,,,,,,,,,,,,,,,,,,,,,,20,18.3,17.32,15.98,13.06,12.39,10.48,10.34,10.09,8.5,5.68,5.58,5.45,1.6,1.57,0,3.71,7.19,8.14,8.74,15.56,16.33,16.43,16.45,17.77,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1441.869,1441.673,1441.635,1441.639,1441.711,1441.704,1441.747,1441.786,1441.808,1441.94,1441.423,1441.355,1441.375,1440.13,1440.083,1440.476,1440.318,1440.409,1440.557,1440.552,1440.568,1440.503,1440.512,1440.572,1440.633,1440.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,109320,,,,,,,,,,,,,,,,,,,,,,,,20,18.04,15.27,14.37,13.52,11.44,10.59,9.07,7.96,7.48,6.28,4.93,3.92,3.63,2.82,0,4.7,4.77,8,11.52,11.83,13.28,19.13,19.88,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1441.278,1441.348,1441.29,1441.619,1442.212,1441.628,1441.681,1441.298,1441.113,1441.159,1440.675,1440.623,1440.294,1440.325,1439.859,1440.063,1439.87,1439.839,1440.017,1440.264,1440.327,1440.335,1440.444,1440.349,1440.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
